FRA_TIDSPUNKT;PRIS
01;0.27046
01;0.26687
01;0.25625
01;0.23598
01;0.23231
01;0.23526
01;0.21977
01;0.20987
01;0.21474
01;0.21849
01;0.23765
01;0.25993
01;0.26312
01;0.2624
01;0.26272
01;0.26615
01;0.2747
01;0.28188
01;0.2822
01;0.28132
01;0.27669
01;0.27517
01;0.27086
01;0.25745
02;0.26901
02;0.26629
02;0.26182
02;0.26079
02;0.26685
02;0.27467
02;0.28058
02;0.28505
02;0.29893
02;0.29981
02;0.30125
02;0.29901
02;0.29797
02;0.29606
02;0.29797
02;0.31002
02;0.42446
02;0.42422
02;0.31098
02;0.30156
02;0.29135
02;0.28792
02;0.28137
02;0.27675
03;0.28236
03;0.28084
03;0.27781
03;0.27621
03;0.27964
03;0.2806
03;0.28212
03;0.30096
03;0.38885
03;0.34119
03;0.33976
03;0.32148
03;0.30431
03;0.30399
03;0.31094
03;0.36019
03;0.43795
03;0.39252
03;0.31796
03;0.29976
03;0.29697
03;0.29465
03;0.28443
03;0.28076
04;0.287
04;0.28278
04;0.2803
04;0.27727
04;0.27927
04;0.27488
04;0.28078
04;0.29386
04;0.32967
04;0.32783
04;0.33262
04;0.32233
04;0.31348
04;0.3134
04;0.31451
04;0.32967
04;0.30997
04;0.30056
04;0.29434
04;0.2945
04;0.29482
04;0.29099
04;0.2878
04;0.28493
05;0.28877
05;0.28576
05;0.28131
05;0.27798
05;0.27957
05;0.28679
05;0.29171
05;0.30036
05;0.31194
05;0.30956
05;0.3079
05;0.30456
05;0.30163
05;0.30203
05;0.30488
05;0.31155
05;0.31091
05;0.30631
05;0.30083
05;0.29449
05;0.29353
05;0.28846
05;0.28528
06;0.28609
06;0.28339
06;0.27847
06;0.27696
06;0.27815
06;0.28188
06;0.28339
06;0.28378
06;0.29331
06;0.29394
06;0.29513
06;0.29482
06;0.29379
06;0.29363
06;0.29355
06;0.2972
06;0.30204
06;0.30363
06;0.30014
06;0.2949
06;0.29267
06;0.29283
06;0.28918
06;0.28624
07;0.28626
07;0.28364
07;0.28102
07;0.27697
07;0.27618
07;0.27785
07;0.27928
07;0.28134
07;0.28944
07;0.29237
07;0.29412
07;0.29428
07;0.29349
07;0.29261
07;0.29325
07;0.29825
07;0.31024
07;0.32318
07;0.30436
07;0.29468
07;0.29142
07;0.29103
07;0.28753
07;0.28547
08;0.28792
08;0.28538
08;0.27975
08;0.27618
08;0.27444
08;0.27404
08;0.27198
08;0.27365
08;0.2742
08;0.27912
08;0.28824
08;0.29014
08;0.29006
08;0.28808
08;0.28657
08;0.28998
08;0.29974
08;0.30885
08;0.30425
08;0.29934
08;0.2945
08;0.29411
08;0.29022
08;0.28673
09;0.288
09;0.28403
09;0.27951
09;0.27801
09;0.28094
09;0.28832
09;0.3033
09;0.31837
09;0.35667
09;0.34366
09;0.33962
09;0.34692
09;0.33542
09;0.32868
09;0.33455
09;0.35437
09;0.38141
09;0.35611
09;0.32099
09;0.30933
09;0.30299
09;0.30045
09;0.29307
09;0.288
10;0.28551
10;0.28171
10;0.28107
10;0.27909
10;0.28131
10;0.28599
10;0.29336
10;0.30018
10;0.30501
10;0.30295
10;0.30129
10;0.30057
10;0.29946
10;0.29748
10;0.29677
10;0.29772
10;0.29986
10;0.29954
10;0.29661
10;0.2936
10;0.28979
10;0.28749
10;0.28123
10;0.27537
11;0.27857
11;0.27825
