St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;8;1;1;13.5
68860;2010;8;1;2;13.4
68860;2010;8;1;3;13.4
68860;2010;8;1;4;13.4
68860;2010;8;1;5;13.5
68860;2010;8;1;6;13.8
68860;2010;8;1;7;13.7
68860;2010;8;1;8;14.1
68860;2010;8;1;9;15.2
68860;2010;8;1;10;16.4
68860;2010;8;1;11;15.9
68860;2010;8;1;12;16.5
68860;2010;8;1;13;14.4
68860;2010;8;1;14;15.4
68860;2010;8;1;15;13.9
68860;2010;8;1;16;13.3
68860;2010;8;1;17;13.5
68860;2010;8;1;18;13.9
68860;2010;8;1;19;15.3
68860;2010;8;1;20;14.4
68860;2010;8;1;21;12.6
68860;2010;8;1;22;11.9
68860;2010;8;1;23;12.4
68860;2010;8;1;24;12.2
68860;2010;8;2;1;12.1
68860;2010;8;2;2;12.4
68860;2010;8;2;3;12.5
68860;2010;8;2;4;12.3
68860;2010;8;2;5;11.5
68860;2010;8;2;6;11.7
68860;2010;8;2;7;12.2
68860;2010;8;2;8;12.6
68860;2010;8;2;9;12.5
68860;2010;8;2;10;13.5
68860;2010;8;2;11;13.6
68860;2010;8;2;12;13.5
68860;2010;8;2;13;13.9
68860;2010;8;2;14;14.6
68860;2010;8;2;15;14.8
68860;2010;8;2;16;14.9
68860;2010;8;2;17;14.5
68860;2010;8;2;18;13.2
68860;2010;8;2;19;13.0
68860;2010;8;2;20;13.1
68860;2010;8;2;21;13.0
68860;2010;8;2;22;12.6
68860;2010;8;2;23;11.9
68860;2010;8;2;24;12.0
68860;2010;8;3;1;11.5
68860;2010;8;3;2;11.8
68860;2010;8;3;3;11.8
68860;2010;8;3;4;11.7
68860;2010;8;3;5;11.7
68860;2010;8;3;6;11.9
68860;2010;8;3;7;12.7
68860;2010;8;3;8;13.2
68860;2010;8;3;9;13.7
68860;2010;8;3;10;14.4
68860;2010;8;3;11;14.4
68860;2010;8;3;12;15.5
68860;2010;8;3;13;15.8
68860;2010;8;3;14;16.6
68860;2010;8;3;15;17.1
68860;2010;8;3;16;16.3
68860;2010;8;3;17;16.3
68860;2010;8;3;18;15.2
68860;2010;8;3;19;14.7
68860;2010;8;3;20;14.1
68860;2010;8;3;21;13.5
68860;2010;8;3;22;13.0
68860;2010;8;3;23;12.7
68860;2010;8;3;24;12.5
68860;2010;8;4;1;12.5
68860;2010;8;4;2;12.4
68860;2010;8;4;3;12.3
68860;2010;8;4;4;12.4
68860;2010;8;4;5;12.8
68860;2010;8;4;6;13.3
68860;2010;8;4;7;13.6
68860;2010;8;4;8;13.8
68860;2010;8;4;9;14.5
