St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;1;1;-6.1
68860;2010;1;1;2;-6.2
68860;2010;1;1;3;-6.4
68860;2010;1;1;4;-7.6
68860;2010;1;1;5;-8.3
68860;2010;1;1;6;-10.0
68860;2010;1;1;7;-10.7
68860;2010;1;1;8;-10.1
68860;2010;1;1;9;-10.0
68860;2010;1;1;10;-10.2
68860;2010;1;1;11;-11.1
68860;2010;1;1;12;-9.6
68860;2010;1;1;13;-9.7
68860;2010;1;1;14;-10.1
68860;2010;1;1;15;-11.3
68860;2010;1;1;16;-9.9
68860;2010;1;1;17;-9.9
68860;2010;1;1;18;-10.0
68860;2010;1;1;19;-11.3
68860;2010;1;1;20;-12.2
68860;2010;1;1;21;-12.8
68860;2010;1;1;22;-12.0
68860;2010;1;1;23;-11.8
68860;2010;1;1;24;-13.2
68860;2010;1;2;1;-11.0
68860;2010;1;2;2;-13.0
68860;2010;1;2;3;-14.4
68860;2010;1;2;4;-14.1
68860;2010;1;2;5;-12.5
68860;2010;1;2;6;-14.8
68860;2010;1;2;7;-16.0
68860;2010;1;2;8;-15.1
68860;2010;1;2;9;-16.0
68860;2010;1;2;10;-15.6
68860;2010;1;2;11;-14.5
68860;2010;1;2;12;-15.7
68860;2010;1;2;13;-14.6
68860;2010;1;2;14;-14.8
68860;2010;1;2;15;-14.4
68860;2010;1;2;16;-13.7
68860;2010;1;2;17;-13.8
68860;2010;1;2;18;-14.1
68860;2010;1;2;19;-13.2
68860;2010;1;2;20;-12.3
68860;2010;1;2;21;-10.8
68860;2010;1;2;22;-10.5
68860;2010;1;2;23;-9.5
68860;2010;1;2;24;-8.8
68860;2010;1;3;1;-8.4
68860;2010;1;3;2;-6.8
68860;2010;1;3;3;-4.6
68860;2010;1;3;4;-2.9
68860;2010;1;3;5;-2.4
68860;2010;1;3;6;-2.5
68860;2010;1;3;7;-2.0
68860;2010;1;3;8;-1.8
68860;2010;1;3;9;0.1
68860;2010;1;3;10;1.0
68860;2010;1;3;11;0.2
68860;2010;1;3;12;-0.6
68860;2010;1;3;13;-1.0
68860;2010;1;3;14;-1.0
68860;2010;1;3;15;-1.1
68860;2010;1;3;16;-2.8
68860;2010;1;3;17;-1.7
68860;2010;1;3;18;-2.5
68860;2010;1;3;19;-1.9
68860;2010;1;3;20;-2.3
68860;2010;1;3;21;-2.5
68860;2010;1;3;22;-2.4
68860;2010;1;3;23;-2.3
68860;2010;1;3;24;-2.2
68860;2010;1;4;1;-1.8
68860;2010;1;4;2;-2.3
68860;2010;1;4;3;-2.0
68860;2010;1;4;4;-2.0
68860;2010;1;4;5;-0.4
68860;2010;1;4;6;-0.8
